UserID,ServiceID,ResponseTime,Throughput,Reliability,UserRegion,UserAS,UserSubnet,UserIP,UserGP,ServiceRegion,ServiceAS,ServiceSubnet,ServiceIP,ServiceGP,WSDLFile
3,3958,0.574,11.547,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Australia,AS9328,AS9328_203.89.199.0/24,203.89.199.52,-37.8139_144.9634,3958.wsdl
3,281,0.281,19.419,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Belgium,AS2611,AS2611_193.190.76.0/24,193.190.76.50,51.05_3.7167,281.wsdl
3,2748,0.131,85.167,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2748.wsdl
3,2790,1.828,7.778,0.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2790.wsdl
3,2867,1.987,7.485,0.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2867.wsdl
3,3080,0.126,89.325,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,3080.wsdl
3,3087,1.797,7.772,0.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,3087.wsdl
3,131,0.618,18.985,0.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,France,AS2200,AS2200_147.99.0.0/16,147.99.102.41,43.5278_1.4824,131.wsdl
3,192,0.399,32.198,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Germany,AS680,AS680_134.76.0.0/16,134.76.31.209,51.5333_9.9333,192.wsdl
3,195,0.363,30.866,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Germany,AS680,AS680_134.76.0.0/16,134.76.31.209,51.5333_9.9333,195.wsdl
3,284,0.297,19.427,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Germany,AS6724,AS6724_85.0.0.0/8,85.214.115.28,52.5167_13.4,284.wsdl
3,371,0.248,21.343,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Germany,AS8560,AS8560_217.160.24.0/24,217.160.24.237,51.0_9.0,371.wsdl
3,465,0.234,21.184,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Ireland,AS29650,AS29650_82.0.0.0/8,82.195.154.72,53.0_-8.0,465.wsdl
3,475,0.547,10.339,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Islamic_Republic_of_Iran,AS12880,AS12880_217.218.177.0/24,217.218.177.18,32.0_53.0,475.wsdl
3,582,0.462,13.539,0.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Italy,AS30958,AS30958_82.0.0.0/8,82.115.173.114,45.6833_9.7167,582.wsdl
3,768,0.796,10.961,0.99 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,New_Zealand,AS4771,AS4771_210.54.238.0/24,210.54.238.234,-36.8667_174.7667,768.wsdl
3,801,0.837,15.366,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Norway,AS21293,AS21293_160.68.0.0/16,160.68.205.231,62.0_10.0,801.wsdl
3,840,0.36,13.329,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Poland,AS8508,AS8508_157.158.0.0/16,157.158.3.1,52.0_20.0,840.wsdl
3,891,0.544,11.202,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Republic_of_Korea,AS9848,AS9848_61.0.0.0/8,61.109.248.170,37.57_126.98,891.wsdl
3,894,0.465,12.52,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Republic_of_Korea,AS9848,AS9848_61.0.0.0/8,61.100.5.96,37.57_126.98,894.wsdl
3,1077,0.51,15.271,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Spain,AS16206,AS16206_213.171.253.0/24,213.171.253.150,41.3984_2.1741,1077.wsdl
3,1165,0.365,16.179,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,Switzerland,AS34960,AS34960_194.126.145.0/24,194.126.145.182,47.0_8.0,1165.wsdl
3,1359,0.466,13,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_Kingdom,AS33970,AS33970_89.0.0.0/8,89.238.134.82,51.5_-0.13,1359.wsdl
3,1620,6.791,19.092,0.95 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS26496,AS26496_173.201.0.0/16,173.201.44.188,33.6119_-111.8906,1620.wsdl
3,1856,0.286,16.925,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS701,AS701_208.229.101.0/24,208.229.101.184,47.6201_-122.1653,1856.wsdl
3,2107,0.093,73.578,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS13768,AS13768_65.0.0.0/8,65.39.148.42,48.7595_-122.4882,2107.wsdl
3,2111,0.059,91.11,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS13768,AS13768_65.0.0.0/8,65.39.148.42,48.7595_-122.4882,2111.wsdl
3,2267,0.198,25.694,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS1226,AS1226_134.186.0.0/16,134.186.61.39,38.5891_-121.3027,2267.wsdl
3,2269,0.104,46.26,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS36476,AS36476_209.237.188.0/24,209.237.188.56,30.1438_-81.5401,2269.wsdl
3,2323,0.524,32.665,0.97 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS33055,AS33055_65.0.0.0/8,65.182.100.199,33.4499_-112.0712,2323.wsdl
3,2690,0.035,139.908,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS3561,AS3561_216.33.67.0/24,216.33.67.161,41.8039_-87.9027,2690.wsdl
3,2882,0.158,39.64,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS13601,AS13601_66.0.0.0/8,66.132.221.72,40.7143_-74.006,2882.wsdl
3,2960,0.095,64.48,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS23052,AS23052_208.81.130.0/24,208.81.130.93,40.1768_-83.0792,2960.wsdl
3,3152,0.091,51.004,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS11872,AS11872_128.230.0.0/16,128.230.171.184,43.0377_-76.1396,3152.wsdl
3,3454,0.49,11.884,1.00 ,United_States,AS17,AS17_128.10.0.0/16,128.10.19.52,40.4249_-86.9162,United_States,AS26347,AS26347_208.113.175.0/24,208.113.175.48,33.9269_-117.8612,3454.wsdl
9,3958,2.307,4.122,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Australia,AS9328,AS9328_203.89.199.0/24,203.89.199.52,-37.8139_144.9634,3958.wsdl
9,281,1.007,9.944,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Belgium,AS2611,AS2611_193.190.76.0/24,193.190.76.50,51.05_3.7167,281.wsdl
9,2748,0.573,36.72,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2748.wsdl
9,2790,2.851,5.83,0.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2790.wsdl
9,2867,2.213,6.609,0.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,2867.wsdl
9,3080,0.171,71.566,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,3080.wsdl
9,3087,3.193,5.079,0.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Canada,AS3359,AS3359_129.128.0.0/16,129.128.98.86,53.5248_-113.5334,3087.wsdl
9,131,2.336,9.909,0.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,France,AS2200,AS2200_147.99.0.0/16,147.99.102.41,43.5278_1.4824,131.wsdl
9,192,0.984,18.477,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Germany,AS680,AS680_134.76.0.0/16,134.76.31.209,51.5333_9.9333,192.wsdl
9,195,0.911,19.351,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Germany,AS680,AS680_134.76.0.0/16,134.76.31.209,51.5333_9.9333,195.wsdl
9,284,1.229,7.936,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Germany,AS6724,AS6724_85.0.0.0/8,85.214.115.28,52.5167_13.4,284.wsdl
9,371,0.86,9.636,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Germany,AS8560,AS8560_217.160.24.0/24,217.160.24.237,51.0_9.0,371.wsdl
9,465,0.633,11.074,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Ireland,AS29650,AS29650_82.0.0.0/8,82.195.154.72,53.0_-8.0,465.wsdl
9,475,2.441,2.534,0.98 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Islamic_Republic_of_Iran,AS12880,AS12880_217.218.177.0/24,217.218.177.18,32.0_53.0,475.wsdl
9,582,2.352,3.918,0.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Italy,AS30958,AS30958_82.0.0.0/8,82.115.173.114,45.6833_9.7167,582.wsdl
9,768,1.716,4.389,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,New_Zealand,AS4771,AS4771_210.54.238.0/24,210.54.238.234,-36.8667_174.7667,768.wsdl
9,801,1.649,6.02,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Norway,AS21293,AS21293_160.68.0.0/16,160.68.205.231,62.0_10.0,801.wsdl
9,840,1.334,4.886,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Poland,AS8508,AS8508_157.158.0.0/16,157.158.3.1,52.0_20.0,840.wsdl
9,891,1.564,4.048,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Republic_of_Korea,AS9848,AS9848_61.0.0.0/8,61.109.248.170,37.57_126.98,891.wsdl
9,894,1.372,4.768,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Republic_of_Korea,AS9848,AS9848_61.0.0.0/8,61.100.5.96,37.57_126.98,894.wsdl
9,1077,0.967,9.42,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Spain,AS16206,AS16206_213.171.253.0/24,213.171.253.150,41.3984_2.1741,1077.wsdl
9,1165,0.869,7.967,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,Switzerland,AS34960,AS34960_194.126.145.0/24,194.126.145.182,47.0_8.0,1165.wsdl
9,1359,0.505,14.682,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_Kingdom,AS33970,AS33970_89.0.0.0/8,89.238.134.82,51.5_-0.13,1359.wsdl
9,1620,9.287,15.262,0.84 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS26496,AS26496_173.201.0.0/16,173.201.44.188,33.6119_-111.8906,1620.wsdl
9,1856,0.975,6.715,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS701,AS701_208.229.101.0/24,208.229.101.184,47.6201_-122.1653,1856.wsdl
9,2107,0.623,24.486,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS13768,AS13768_65.0.0.0/8,65.39.148.42,48.7595_-122.4882,2107.wsdl
9,2111,0.086,62.429,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS13768,AS13768_65.0.0.0/8,65.39.148.42,48.7595_-122.4882,2111.wsdl
9,2267,0.96,9.545,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS1226,AS1226_134.186.0.0/16,134.186.61.39,38.5891_-121.3027,2267.wsdl
9,2269,0.82,18.77,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS36476,AS36476_209.237.188.0/24,209.237.188.56,30.1438_-81.5401,2269.wsdl
9,2323,0.911,10.717,0.98 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS33055,AS33055_65.0.0.0/8,65.182.100.199,33.4499_-112.0712,2323.wsdl
9,2690,0.078,67.929,1.00 ,United_States,AS88,AS88_128.112.0.0/16,128.112.139.80,40.3756_-74.6597,United_States,AS3561,AS3561_216.33.67.0/24,216.33.67.161,41.8039_-87.9027,2690.wsdl
